"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"101",2.5092903899363,1.59246001527277,3.9539694564627,2014-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"102",2.29790996744148,1.43562457726417,3.67811355565507,2014-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"103",2.69932029844108,1.74354430789562,4.17903350123079,2017-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"104",2.55998141832927,1.62144868558214,4.04175902726041,2017-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"105",2.35372693103466,1.48789147457836,3.72341031623143,2017-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"106",2.34198766899138,1.46890907583934,3.73399983152368,2017-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"107",2.90374127394678,1.81411908993798,4.64782793631829,2017-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"108",2.35372693103466,1.47627201322255,3.75271658356819,2017-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"109",2.04010239454318,1.24493086717323,3.34317180974973,2017-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"110",2.74560101501692,1.71868592201322,4.38609802821434,2017-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"111",2.3797608513295,1.52812271747027,3.70602546822661,2017-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"112",2.86051019848318,1.79412959671667,4.56071769319263,2017-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"113",2.71556490531857,1.69655546756344,4.34662638268388,2017-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"114",2.43756599891195,1.56217643564976,3.80349355134154,2017-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"115",2.54721345773901,1.63564954387849,3.96680109352857,2017-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"116",2.73190727282593,1.70676539953496,4.37278453696842,2017-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"117",2.44978434932766,1.54558116778845,3.88296873906541,2017-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"118",2.30020902674699,1.46263557985285,3.61741614904555,2017-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"119",2.26369854505949,1.41702556190655,3.61625876106981,2017-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"120",2.40367784550572,1.51055933081894,3.82485286548969,2020-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"121",2.70202096884967,1.67163134013323,4.36754034266994,2020-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"122",2.33964685192599,1.47320455869367,3.71567367167333,2020-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"123",2.37026082065224,1.47792636414093,3.80136419122927,2020-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"124",2.9624007387715,1.85076672652285,4.74172028884571,2020-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"125",2.27277147299837,1.4088306020044,3.66650906157633,2020-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"126",2.18583957588381,1.34964284744406,3.54011778786384,2020-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"127",2.29102656780116,1.44258984256303,3.63845812545396,2020-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"128",2.5676728940292,1.65202201288346,3.99083307565913,2020-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"129",2.82356423498648,1.78489573185704,4.46665586498995,2020-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"130",2.5017737992899,1.58768979413632,3.94212532317634,2020-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"131",2.28644909366552,1.44819796387194,3.6098997432275,2020-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"132",2.63530783342748,1.69221784009856,4.10399134931692,2020-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"133",2.81792274988211,1.78132950780612,4.45773148061914,2020-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"134",2.44488967693296,1.51552209991606,3.94417576141213,2020-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"135",2.44488967693296,1.55158967167915,3.85249118467284,2020-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"136",2.45714473743752,1.53510686882489,3.93299019327466,2020-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"137",1.77180712442957,1.21613767900414,2.58136931399911,2001-01-01,1,"Hombre","Andalucía","Andalucia","AN",61,"diabetes"
"138",1.60480138297626,1.12551420236369,2.28818745547052,2001-01-01,2,"Hombre","Aragón","Aragon","AR",62,"diabetes"
"139",1.48438419092091,1.00694399852466,2.18820155786645,2001-01-01,3,"Hombre","Asturias","Asturias","AS",63,"diabetes"
"140",1.63068471962155,1.10835839808774,2.39916317627497,2001-01-01,4,"Hombre","Balears","Balears","IB",64,"diabetes"
"141",1.76649966822119,1.18663313645467,2.62972689870167,2001-01-01,5,"Hombre","Canarias","Canarias","CN",65,"diabetes"
"142",1.65532936315705,1.1361893639215,2.4116713177745,2001-01-01,6,"Hombre","Cantabria","Cantabria","CB",66,"diabetes"
"143",1.52348427840875,1.05806312910793,2.19363503245361,2001-01-01,7,"Hombre","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"144",1.41057863550768,0.940146090846239,2.11640733958668,2001-01-01,8,"Hombre","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"145",1.54960490741951,1.0868026098772,2.20948620041495,2001-01-01,9,"Hombre","Cataluña","Catalunya","CT",69,"diabetes"
"146",1.54496305895134,1.06878233950821,2.23329930266493,2001-01-01,10,"Hombre","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"147",1.6176912849017,1.11909463858173,2.33843055182842,2001-01-01,11,"Hombre","Extremadura","Extremadura","EX",70,"diabetes"
"148",1.69384314924862,1.18099818455021,2.42938952133037,2001-01-01,12,"Hombre","Galicia","Galicia","GA",71,"diabetes"
"149",1.64872127070013,1.14504049134384,2.37396131316616,2001-01-01,13,"Hombre","Madrid","Madrid","MD",72,"diabetes"
"150",1.52653429596646,1.04984233945987,2.21967324918588,2001-01-01,14,"Hombre","Murcia","Murcia","MC",73,"diabetes"
"151",1.49331726849996,1.01698259209243,2.19275775390804,2001-01-01,15,"Hombre","Navarra","Navarra","NC",74,"diabetes"
"152",1.53572103439735,1.04176876071087,2.26387964818712,2001-01-01,16,"Hombre","País Vasco","Pais Vasco","PV",75,"diabetes"
"153",1.595201403417,1.11004438387742,2.29240159620912,2001-01-01,17,"Hombre","La Rioja","La Rioja","RI",76,"diabetes"
"154",1.72806105065858,1.17454401507501,2.54242919505451,2003-01-01,1,"Hombre","Andalucía","Andalucia","AN",61,"diabetes"
"155",1.50983443632874,1.01025219731993,2.25646628749892,2003-01-01,2,"Hombre","Aragón","Aragon","AR",62,"diabetes"
"156",1.53879554995687,1.02761440062671,2.30426095928876,2003-01-01,3,"Hombre","Asturias","Asturias","AS",63,"diabetes"
"157",1.64542712340407,1.12939263830499,2.39724461326148,2003-01-01,4,"Hombre","Balears","Balears","IB",64,"diabetes"
"158",1.70063209067655,1.13791768494588,2.54161574787058,2003-01-01,5,"Hombre","Canarias","Canarias","CN",65,"diabetes"
"159",1.5920141888871,1.08845580595493,2.32853659629686,2003-01-01,6,"Hombre","Cantabria","Cantabria","CB",66,"diabetes"
