"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"67",1.29106462364174,1.07993914183064,1.5434646248618,2014,"col","Mujeres",0
"68",1.22013291477352,1.04291491722078,1.4274647961513,2017,"col","Mujeres",0
"69",1.20458516747651,1.02492039365414,1.41574451507504,2020,"col","Mujeres",0
"70",3.24489868721672,2.60552545344874,4.0411685390998,2001,"obesity","Overall",0
"71",11.2587244092421,7.52600198772746,16.8427905719354,2003,"obesity","Overall",0
"72",3.94038918507997,3.29513602643741,4.71199574321735,2006,"obesity","Overall",0
"73",3.2990685729547,2.8115674960195,3.87109804920787,2009,"obesity","Overall",0
"74",1.62644459922588,1.47127890342371,1.79797455682623,2011,"obesity","Overall",0
"75",2.77972750402917,2.40735534218659,3.20969856890256,2014,"obesity","Overall",0
"76",2.25783080465009,1.9851620919835,2.56795148517737,2017,"obesity","Overall",0
"77",2.0620789447182,1.80522181785179,2.35548315015946,2020,"obesity","Overall",0
"78",1.91186152122389,1.41600621041888,2.58135483406902,2001,"obesity","Hombres",0
"79",3.81622872439662,2.22350125514122,6.54985089090264,2003,"obesity","Hombres",0
"80",2.27192682679953,1.76139315528429,2.93043690492727,2006,"obesity","Hombres",0
"81",2.36485137517878,1.9081375887977,2.9308798587259,2009,"obesity","Hombres",0
"82",1.37321458897019,1.19161720836572,1.58248663591122,2011,"obesity","Hombres",0
"83",1.78583876206173,1.46646275573252,2.17477059789977,2014,"obesity","Hombres",0
"84",1.61529942985037,1.34960787219199,1.93329655364055,2017,"obesity","Hombres",0
"85",1.64496407415471,1.36799367100698,1.97801120181195,2020,"obesity","Hombres",0
"86",5.88195362286412,4.22907169375755,8.18084462190434,2001,"obesity","Mujeres",0
"87",35.0566689431963,18.9599953619603,64.8191106554047,2003,"obesity","Mujeres",0
"88",6.43194296575842,4.9866295981632,8.29616266867055,2006,"obesity","Mujeres",0
"89",4.710504095505,3.68955996682959,6.01395533159909,2009,"obesity","Mujeres",0
"90",1.92419671189654,1.66835854033988,2.21926696003797,2011,"obesity","Mujeres",0
"91",4.54747141412625,3.6716474331096,5.63221187192843,2014,"obesity","Mujeres",0
"92",3.17585160548521,2.63166547135066,3.83256668822974,2017,"obesity","Mujeres",0
"93",2.61327033981421,2.15103129017252,3.17484078458245,2020,"obesity","Mujeres",0
"94",0.985589057316659,0.856229918619404,1.13449176299354,2001,"smoking","Overall",0
"95",1.07207767315639,0.862343857543854,1.33282162008323,2003,"smoking","Overall",0
"96",1.26319190775178,1.11312569886599,1.43348931520956,2006,"smoking","Overall",0
"97",1.17777864081568,1.04457075036122,1.32797374067956,2009,"smoking","Overall",0
"98",1.01560345317893,0.930464124826362,1.10853320035467,2011,"smoking","Overall",0
"99",0.989391004581909,0.873739779368059,1.12035022676385,2014,"smoking","Overall",0
"100",0.988048538138452,0.874458310600841,1.11639388851683,2017,"smoking","Overall",0
"101",1.16921765659085,1.03000513448559,1.32724574151423,2020,"smoking","Overall",0
"102",1.41179926948066,1.18986340273856,1.67513108876084,2001,"smoking","Hombres",0
"103",1.73490685565886,1.2892339413925,2.33464362143703,2003,"smoking","Hombres",0
"104",1.68160657979367,1.41145216031045,2.00346902907669,2006,"smoking","Hombres",0
"105",1.72817102999932,1.48194249269398,2.0153110688524,2009,"smoking","Hombres",0
"106",1.14841788390426,1.02440244516688,1.2874467864593,2011,"smoking","Hombres",0
"107",1.41144255812691,1.2036353057988,1.65512766640698,2014,"smoking","Hombres",0
"108",1.40105025791131,1.19538783814384,1.64209619887161,2017,"smoking","Hombres",0
"109",1.61462768647634,1.37226445921923,1.89979602577426,2020,"smoking","Hombres",0
"110",0.544259636163253,0.423931791621482,0.698741064980195,2001,"smoking","Mujeres",0
"111",0.589847926301558,0.427200837471934,0.814419227783246,2003,"smoking","Mujeres",0
"112",1.01144785888562,0.841863895093314,1.21519259491573,2006,"smoking","Mujeres",0
"113",0.729348684925529,0.600416247480553,0.885967870514409,2009,"smoking","Mujeres",0
"114",0.871629585506874,0.760332073614895,0.999218842260348,2011,"smoking","Mujeres",0
"115",0.61871131105773,0.507032735512807,0.754988109482934,2014,"smoking","Mujeres",0
"116",0.640120058395232,0.528744271725723,0.774956271058134,2017,"smoking","Mujeres",0
"117",0.750138144007814,0.612412374025616,0.918837141380085,2020,"smoking","Mujeres",0
